communication_id,case_id,timestamp,source_person_id,target_person_id,communication_type,duration_or_content,device_id,evidence_id
C001,CASE001,2026-01-11 09:12:00,P001,P006,CALL,184s,DEV-GEN,E001
C002,CASE001,2026-01-13 14:05:00,P006,P010,CALL,302s,DEV-GEN,E002
C003,CASE001,2026-01-14 10:40:00,P002,P011,CALL,88s,DEV-GEN,E003
C004,CASE001,2026-01-15 16:20:00,P003,P006,MESSAGE,Confirming delivery schedule,DEV-GEN,E004
C005,CASE001,2026-01-16 11:00:00,P006,P015,CALL,210s,DEV-GEN,E005
C006,CASE001,2026-01-12 08:30:00,P005,P001,CALL,95s,DEV-GEN,E006
C007,CASE001,2026-01-12 09:00:00,P005,P015,CALL,140s,DEV-GEN,E007
C008,CASE001,2026-01-17 13:45:00,P005,P003,MESSAGE,Requesting update,DEV-GEN,E008
C009,CASE001,2026-02-06 21:04:00,P021,P009,MESSAGE,auto-generated message content,DEV-GEN,
C010,CASE001,2026-01-22 19:09:00,P015,P001,CALL,auto-generated call content,DEV-GEN,E009
C011,CASE001,2026-02-16 08:39:00,P007,P008,CALL,auto-generated call content,DEV-GEN,
C012,CASE001,2026-02-27 14:42:00,P021,P012,CALL,auto-generated call content,DEV-GEN,E010
C013,CASE001,2026-02-21 21:44:00,P024,P005,EMAIL,auto-generated email content,DEV-GEN,E011
C014,CASE001,2026-02-16 10:38:00,P023,P017,MESSAGE,auto-generated message content,DEV-GEN,E012
C015,CASE001,2026-02-21 11:59:00,P005,P019,MESSAGE,auto-generated message content,DEV-GEN,
C016,CASE001,2026-02-03 10:33:00,P007,P013,CALL,auto-generated call content,DEV-GEN,
C017,CASE001,2026-02-03 08:03:00,P012,P021,MESSAGE,auto-generated message content,DEV-GEN,
C018,CASE001,2026-01-11 06:32:00,P016,P011,EMAIL,auto-generated email content,DEV-GEN,E013
C019,CASE001,2026-01-30 09:31:00,P015,P019,EMAIL,auto-generated email content,DEV-GEN,
C020,CASE001,2026-01-19 22:13:00,P014,P020,MESSAGE,auto-generated message content,DEV-GEN,
C021,CASE001,2026-01-24 08:35:00,P013,P002,CALL,auto-generated call content,DEV-GEN,
C022,CASE001,2026-01-21 07:41:00,P018,P002,MESSAGE,auto-generated message content,DEV-GEN,
C023,CASE001,2026-02-20 12:30:00,P023,P022,CALL,auto-generated call content,DEV-GEN,E014
C024,CASE001,2026-02-12 12:50:00,P017,P005,CALL,auto-generated call content,DEV-GEN,
C025,CASE001,2026-01-21 18:17:00,P014,P018,MESSAGE,auto-generated message content,DEV-GEN,
C026,CASE001,2026-02-03 15:11:00,P012,P006,MESSAGE,auto-generated message content,DEV-GEN,
C027,CASE001,2026-02-28 19:18:00,P015,P006,MESSAGE,auto-generated message content,DEV-GEN,
C028,CASE001,2026-02-07 09:33:00,P017,P009,CALL,auto-generated call content,DEV-GEN,
C029,CASE001,2026-01-24 06:05:00,P015,P021,MESSAGE,auto-generated message content,DEV-GEN,
C030,CASE001,2026-03-01 11:01:00,P012,P006,MESSAGE,auto-generated message content,DEV-GEN,
C031,CASE001,2026-02-15 12:07:00,P020,P023,MESSAGE,auto-generated message content,DEV-GEN,
C032,CASE001,2026-02-15 12:36:00,P010,P019,MESSAGE,auto-generated message content,DEV-GEN,
C033,CASE001,2026-01-18 09:50:00,P009,P004,MESSAGE,auto-generated message content,DEV-GEN,E015
C034,CASE001,2026-02-22 07:48:00,P012,P024,CALL,auto-generated call content,DEV-GEN,
C035,CASE001,2026-01-16 22:20:00,P009,P019,CALL,auto-generated call content,DEV-GEN,E016
C036,CASE001,2026-01-30 11:16:00,P009,P003,CALL,auto-generated call content,DEV-GEN,
C037,CASE001,2026-02-28 14:26:00,P001,P002,CALL,auto-generated call content,DEV-GEN,E017
C038,CASE001,2026-01-29 09:06:00,P022,P018,EMAIL,auto-generated email content,DEV-GEN,
C039,CASE001,2026-03-05 17:20:00,P015,P020,EMAIL,auto-generated email content,DEV-GEN,
C040,CASE001,2026-02-18 07:59:00,P013,P011,EMAIL,auto-generated email content,DEV-GEN,E018
C041,CASE001,2026-02-08 19:43:00,P004,P022,MESSAGE,auto-generated message content,DEV-GEN,
C042,CASE001,2026-02-22 14:24:00,P010,P012,CALL,auto-generated call content,DEV-GEN,
C043,CASE001,2026-02-06 06:18:00,P023,P011,MESSAGE,auto-generated message content,DEV-GEN,
C044,CASE001,2026-02-28 09:19:00,P014,P011,EMAIL,auto-generated email content,DEV-GEN,
C045,CASE001,2026-02-13 16:12:00,P018,P002,EMAIL,auto-generated email content,DEV-GEN,
C046,CASE001,2026-01-20 09:07:00,P002,P005,EMAIL,auto-generated email content,DEV-GEN,
C047,CASE001,2026-02-20 15:01:00,P014,P019,CALL,auto-generated call content,DEV-GEN,
C048,CASE001,2026-02-03 18:15:00,P014,P022,CALL,auto-generated call content,DEV-GEN,
C049,CASE001,2026-01-21 06:42:00,P023,P018,EMAIL,auto-generated email content,DEV-GEN,
C050,CASE001,2026-01-26 10:14:00,P001,P009,EMAIL,auto-generated email content,DEV-GEN,
C051,CASE001,2026-01-26 16:08:00,P021,P019,CALL,auto-generated call content,DEV-GEN,
C052,CASE001,2026-02-14 07:41:00,P017,P009,MESSAGE,auto-generated message content,DEV-GEN,
C053,CASE001,2026-02-27 16:03:00,P022,P001,EMAIL,auto-generated email content,DEV-GEN,
C054,CASE001,2026-02-09 07:14:00,P022,P017,CALL,auto-generated call content,DEV-GEN,
C055,CASE001,2026-03-06 18:45:00,P012,P008,EMAIL,auto-generated email content,DEV-GEN,
C056,CASE001,2026-01-31 12:23:00,P012,P015,EMAIL,auto-generated email content,DEV-GEN,
C057,CASE001,2026-03-02 21:57:00,P022,P019,MESSAGE,auto-generated message content,DEV-GEN,E019
C058,CASE001,2026-02-19 19:09:00,P016,P001,MESSAGE,auto-generated message content,DEV-GEN,
C059,CASE001,2026-03-04 22:44:00,P014,P002,EMAIL,auto-generated email content,DEV-GEN,E020
C060,CASE001,2026-01-29 17:34:00,P024,P009,CALL,auto-generated call content,DEV-GEN,
C061,CASE001,2026-01-16 06:34:00,P007,P023,EMAIL,auto-generated email content,DEV-GEN,E021
C062,CASE001,2026-01-12 18:24:00,P018,P017,EMAIL,auto-generated email content,DEV-GEN,
C063,CASE001,2026-02-11 09:05:00,P005,P024,MESSAGE,auto-generated message content,DEV-GEN,E022
C064,CASE001,2026-01-26 15:02:00,P024,P019,EMAIL,auto-generated email content,DEV-GEN,
C065,CASE001,2026-01-20 15:18:00,P018,P010,MESSAGE,auto-generated message content,DEV-GEN,E023
C066,CASE001,2026-02-03 12:47:00,P021,P001,EMAIL,auto-generated email content,DEV-GEN,
C067,CASE001,2026-02-06 17:51:00,P018,P006,EMAIL,auto-generated email content,DEV-GEN,
