event_id,case_id,timestamp,event_type,person_id,location_id,organization_id,description,evidence_id
EV001,CASE001,2026-01-12 18:00:00,VISIT,P001,L005,,P001 observed entering Cinderlot Depot warehouse briefly.,E044
EV002,CASE001,2026-01-15 19:00:00,VISIT,P010,L005,,P010 observed at Cinderlot Depot loading dock in the evening.,E045
EV003,CASE001,2026-01-19 20:00:00,VISIT,P003,L009,,P003 checked into The Aldermere Inn for one night.,E046
EV004,CASE001,2026-01-21 09:00:00,VISIT,P015,L009,,P015 seen at The Aldermere Inn breakfast area.,E047
EV005,CASE001,2026-01-13 08:00:00,EMPLOYMENT,P002,L004,O001,P002 confirmed as staff at Solace Freight Cooperative HQ.,E048
EV006,CASE001,2026-01-16 10:00:00,EMPLOYMENT,P020,L004,O004,P020 confirmed as staff at Solace Freight Cooperative Millbrook Branch.,E049
EV007,CASE001,2026-01-30 15:00:00,TRAVEL,P008,L011,,P008 departed Aldenport Transit Hub in a rented white pickup truck.,E050
EV008,CASE001,2026-01-30 16:00:00,TRAVEL,P022,L011,,P022 arrived at Aldenport Transit Hub in a black sedan.,E051
EV009,CASE001,2026-01-14 21:00:00,DELIVERY,P010,L006,O005,P010 oversaw a delivery at Harrow's End Storage using an unmarked cargo truck.,E052
EV010,CASE001,2026-01-23 17:00:00,MEETING,P006,L008,,P006 met an unnamed contact at Cindermere Diner.,E053
EV011,CASE001,2026-01-24 18:00:00,MEETING,P001,L003,O002,P001 held a meeting at Northgate Trading Office.,E054
EV012,CASE001,2026-01-26 12:00:00,INCIDENT,P005,L007,,P005 involved in a minor dispute reported at Ravensbrook Meeting Hall.,E055
EV013,CASE001,2026-01-27 17:00:00,TRAVEL,P015,L003,O002,Travel event logged for P015 at L003.,
EV014,CASE002,2026-02-22 10:00:00,EMPLOYMENT,P021,L010,O007,Employment event logged for P021 at L010.,
EV015,CASE001,2026-01-11 15:00:00,TRAVEL,P017,L006,O001,Travel event logged for P017 at L006.,
EV016,CASE002,2026-01-19 16:00:00,TRAVEL,P023,L009,,Travel event logged for P023 at L009.,E056
EV017,CASE001,2026-02-01 14:00:00,VISIT,P001,L003,O003,Visit event logged for P001 at L003.,
EV018,CASE001,2026-01-15 19:00:00,OBSERVATION,P014,L004,O002,Observation event logged for P014 at L004.,E057
EV019,CASE001,2026-02-21 21:00:00,TRAVEL,P012,L003,O006,Travel event logged for P012 at L003.,
EV020,CASE002,2026-02-02 12:00:00,VISIT,P021,L012,O007,Visit event logged for P021 at L012.,
EV021,CASE001,2026-02-14 21:00:00,MEETING,P007,L012,O003,Meeting event logged for P007 at L012.,E058
EV022,CASE001,2026-01-15 17:00:00,OBSERVATION,P022,L010,O002,Observation event logged for P022 at L010.,E059
EV023,CASE001,2026-01-23 19:00:00,TRAVEL,P014,L001,O002,Travel event logged for P014 at L001.,
EV024,CASE002,2026-03-01 14:00:00,VISIT,P024,L006,O006,Visit event logged for P024 at L006.,E060
EV025,CASE001,2026-02-12 20:00:00,VISIT,P012,L008,O002,Visit event logged for P012 at L008.,E061
EV026,CASE001,2026-01-19 13:00:00,VISIT,P015,L007,,Visit event logged for P015 at L007.,
EV027,CASE001,2026-02-21 16:00:00,DELIVERY,P009,L011,O001,Delivery event logged for P009 at L011.,E062
EV028,CASE001,2026-03-03 22:00:00,DELIVERY,P017,L002,O004,Delivery event logged for P017 at L002.,E063
EV029,CASE001,2026-01-12 08:00:00,INCIDENT,P015,L010,O001,Incident event logged for P015 at L010.,
EV030,CASE001,2026-02-20 20:00:00,INCIDENT,P016,L009,,Incident event logged for P016 at L009.,E064
EV031,CASE001,2026-01-30 10:00:00,MEETING,P004,L007,O001,Meeting event logged for P004 at L007.,E065
EV032,CASE001,2026-03-06 14:00:00,MEETING,P002,L012,O001,Meeting event logged for P002 at L012.,
EV033,CASE001,2026-02-12 09:00:00,OBSERVATION,P011,L012,O002,Observation event logged for P011 at L012.,E066
EV034,CASE002,2026-02-09 13:00:00,VISIT,P023,L008,O003,Visit event logged for P023 at L008.,
EV035,CASE001,2026-02-11 16:00:00,EMPLOYMENT,P002,L008,O003,Employment event logged for P002 at L008.,
EV036,CASE001,2026-02-07 12:00:00,DELIVERY,P004,L010,O007,Delivery event logged for P004 at L010.,
EV037,CASE001,2026-01-11 21:00:00,TRAVEL,P013,L012,,Travel event logged for P013 at L012.,
EV038,CASE001,2026-01-28 13:00:00,DELIVERY,P017,L006,O004,Delivery event logged for P017 at L006.,
EV039,CASE001,2026-02-16 06:00:00,VISIT,P020,L009,O002,Visit event logged for P020 at L009.,
EV040,CASE001,2026-01-17 17:00:00,DELIVERY,P007,L010,O001,Delivery event logged for P007 at L010.,
