evidence_id,case_id,evidence_type,source,description,collected_at,related_entity_id,hash,status
E001,CASE001,PHONE_RECORD,Telecom Provider Log,CALL record between P001 and P006,2026-01-11 09:12:00,C001,874c7a48420fbfe8fe379e7ae06a6d4b3ab136e70670f011faa23535e19a3a50,VERIFIED
E002,CASE001,PHONE_RECORD,Telecom Provider Log,CALL record between P006 and P010,2026-01-13 14:05:00,C002,1e4954f3dcae57a6b4d7317204def15c157352247de5faf557b9bd16f4cb5337,VERIFIED
E003,CASE001,PHONE_RECORD,Telecom Provider Log,CALL record between P002 and P011,2026-01-14 10:40:00,C003,a76034a1f41f1a6928a6b168ce007f4b10f4d37596a3346f7f2b132b42548227,VERIFIED
E004,CASE001,PHONE_RECORD,Telecom Provider Log,MESSAGE record between P003 and P006,2026-01-15 16:20:00,C004,4231d5a706a8ab39d84a2cfd29a0c70b464d4d85f005d656c76902bffa3a951e,VERIFIED
E005,CASE001,PHONE_RECORD,Telecom Provider Log,CALL record between P006 and P015,2026-01-16 11:00:00,C005,7ccdab8808924c2028adca6d5d49f36171ae34aa8977d100a0c4dc3490f92418,VERIFIED
E006,CASE001,PHONE_RECORD,Telecom Provider Log,CALL record between P005 and P001,2026-01-12 08:30:00,C006,80785da4a0035507d6c070f4c36ae794a8688dcf976dba7c432aaa3a89bafdef,VERIFIED
E007,CASE001,PHONE_RECORD,Telecom Provider Log,CALL record between P005 and P015,2026-01-12 09:00:00,C007,3e09bb2391a8c6e56e8f40dc90a9e0bb45513963bd4d856324a45005730f541e,VERIFIED
E008,CASE001,PHONE_RECORD,Telecom Provider Log,MESSAGE record between P005 and P003,2026-01-17 13:45:00,C008,2575e1d683f758790180a8bfe80a318990ffcfd7e8c639ef5f97c85204c6a378,VERIFIED
E009,CASE001,PHONE_RECORD,Telecom Provider Log,CALL record between P015 and P001,2026-01-22 19:09:00,C010,2d535280d99e6e6090a5caf219d59cef35822c30847d68ea165063a5c128dca7,VERIFIED
E010,CASE001,PHONE_RECORD,Telecom Provider Log,CALL record between P021 and P012,2026-02-27 14:42:00,C012,0664e929214c7954340cd9f9d43ee445536f51df5147938b358a742461c25eb6,VERIFIED
E011,CASE001,EMAIL,Email Server Log,EMAIL record between P024 and P005,2026-02-21 21:44:00,C013,ec6d876b0c80bc673fbc6854819843db549ba3cf5d797bbb7d83193eb57a0de7,VERIFIED
E012,CASE001,PHONE_RECORD,Telecom Provider Log,MESSAGE record between P023 and P017,2026-02-16 10:38:00,C014,3342949179beb3f82204dde653289afbc670ed4faa50fbb4e44c6a5a3bd92f23,VERIFIED
E013,CASE001,EMAIL,Email Server Log,EMAIL record between P016 and P011,2026-01-11 06:32:00,C018,a3a1c4c2d7f0b10e155d4111ad8df41ddde0ceba4adf7481904f4b312c5574a8,VERIFIED
E014,CASE001,PHONE_RECORD,Telecom Provider Log,CALL record between P023 and P022,2026-02-20 12:30:00,C023,ae2ceeaaeb8566373c3d0d83aa0ba6d54ac24e16509e6f9e34423ae2524c689e,VERIFIED
E015,CASE001,PHONE_RECORD,Telecom Provider Log,MESSAGE record between P009 and P004,2026-01-18 09:50:00,C033,bb08e9ba2c3f562c4d34d0e604e7381da41022d6c5a7b81d6d73e38c26317c69,VERIFIED
E016,CASE001,PHONE_RECORD,Telecom Provider Log,CALL record between P009 and P019,2026-01-16 22:20:00,C035,a275d2eb13b65627662817de79ed6711aa475d1444ab68032a764a07937c8337,VERIFIED
E017,CASE001,PHONE_RECORD,Telecom Provider Log,CALL record between P001 and P002,2026-02-28 14:26:00,C037,14d21bc30e536df3e09611c8474f3f7a511488055860f47f0ee401b95676621a,VERIFIED
E018,CASE001,EMAIL,Email Server Log,EMAIL record between P013 and P011,2026-02-18 07:59:00,C040,ef497cec0148c8c62f5453fd7f7dacafde1901db223e27d480296e1eb090ddc9,VERIFIED
E019,CASE001,PHONE_RECORD,Telecom Provider Log,MESSAGE record between P022 and P019,2026-03-02 21:57:00,C057,9b8979a91aee6281308a8942c3054e1ac1f5cdf0fb8d32e6348104bca5294f8f,VERIFIED
E020,CASE001,EMAIL,Email Server Log,EMAIL record between P014 and P002,2026-03-04 22:44:00,C059,5dae40c2956c9cc43100310cda14da1d54981065451ed763b370109edf779025,VERIFIED
E021,CASE001,EMAIL,Email Server Log,EMAIL record between P007 and P023,2026-01-16 06:34:00,C061,d5db619072b7682dc23326eb854b528e3d7a2c8d8f8c36d8e3f2c531a1bcdb26,VERIFIED
E022,CASE001,PHONE_RECORD,Telecom Provider Log,MESSAGE record between P005 and P024,2026-02-11 09:05:00,C063,d8beceb5c93796ad49ac25460846b18067208c8d9a3854d28bdf5c6bbfe03807,VERIFIED
E023,CASE001,PHONE_RECORD,Telecom Provider Log,MESSAGE record between P018 and P010,2026-01-20 15:18:00,C065,3464291af2c169fa3c13178f5a32c364158c44d72cf660357162e741fd2176d2,VERIFIED
E024,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P003->P007 amount 42000 FCT (flagged as unusual pattern),2026-01-18 00:00:00,T001,514f82103dff3f4997417eb1c1023cd9fc5ae25193d25bfc986a2b1d0a777768,VERIFIED
E025,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P007->P015 amount 41500 FCT (flagged as unusual pattern),2026-01-21 00:00:00,T002,3487429c1933934f18e4a9828868de480ad6fcfb8d45b9da8da5645801bbf7f6,VERIFIED
E026,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P022->P023 amount 41000 FCT,2026-02-11 00:00:00,T003,820c60681a9333f2caf24d8063e8535d11ce4838b40f7b80687c260ea786fabd,VERIFIED
