transaction_id,case_id,timestamp,sender_person_id,receiver_person_id,amount,currency,transaction_type,account_id,evidence_id
T001,CASE001,2026-01-18 00:00:00,P003,P007,42000,FCT,WIRE_TRANSFER,ACC-P003-01,E024
T002,CASE001,2026-01-21 00:00:00,P007,P015,41500,FCT,WIRE_TRANSFER,ACC-P007-01,E025
T003,CASE001,2026-02-11 00:00:00,P022,P023,41000,FCT,WIRE_TRANSFER,ACC-P022-01,E026
T004,CASE001,2026-01-29 00:00:00,P007,P018,3000,FCT,SALARY_PAYMENT,ACC-P007-01,E027
T005,CASE001,2026-01-30 00:00:00,P016,P004,60000,FCT,WIRE_TRANSFER,ACC-P016-01,
T006,CASE001,2026-02-20 00:00:00,P004,P012,12000,FCT,INVOICE_PAYMENT,ACC-P004-01,E028
T007,CASE001,2026-02-12 00:00:00,P008,P012,41000,FCT,INVOICE_PAYMENT,ACC-P008-01,E029
T008,CASE001,2026-01-14 00:00:00,P003,P016,60000,FCT,CASH_DEPOSIT,ACC-P003-01,
T009,CASE001,2026-01-20 00:00:00,P011,P014,25000,FCT,CASH_DEPOSIT,ACC-P011-01,
T010,CASE001,2026-02-21 00:00:00,P016,P013,7500,FCT,SALARY_PAYMENT,ACC-P016-01,E030
T011,CASE001,2026-02-08 00:00:00,P008,P023,7500,FCT,CASH_DEPOSIT,ACC-P008-01,
T012,CASE001,2026-03-02 00:00:00,P019,P013,3000,FCT,SALARY_PAYMENT,ACC-P019-01,
T013,CASE001,2026-02-15 00:00:00,P022,P024,3000,FCT,INVOICE_PAYMENT,ACC-P022-01,E031
T014,CASE001,2026-03-04 00:00:00,P004,P011,7500,FCT,INVOICE_PAYMENT,ACC-P004-01,E032
T015,CASE001,2026-02-13 00:00:00,P021,P009,3000,FCT,CASH_DEPOSIT,ACC-P021-01,
T016,CASE001,2026-02-14 00:00:00,P004,P009,7500,FCT,INVOICE_PAYMENT,ACC-P004-01,
T017,CASE001,2026-02-04 00:00:00,P001,P018,41000,FCT,CASH_DEPOSIT,ACC-P001-01,E033
T018,CASE001,2026-02-22 00:00:00,P016,P022,60000,FCT,SALARY_PAYMENT,ACC-P016-01,
T019,CASE001,2026-01-13 00:00:00,P013,P024,3000,FCT,WIRE_TRANSFER,ACC-P013-01,E034
T020,CASE001,2026-02-23 00:00:00,P009,P005,7500,FCT,INVOICE_PAYMENT,ACC-P009-01,
T021,CASE001,2026-03-02 00:00:00,P016,P011,1500,FCT,WIRE_TRANSFER,ACC-P016-01,
T022,CASE001,2026-02-19 00:00:00,P004,P022,60000,FCT,CASH_DEPOSIT,ACC-P004-01,
T023,CASE001,2026-03-01 00:00:00,P015,P017,7500,FCT,CASH_DEPOSIT,ACC-P015-01,E035
T024,CASE001,2026-02-23 00:00:00,P007,P018,60000,FCT,WIRE_TRANSFER,ACC-P007-01,E036
T025,CASE001,2026-01-24 00:00:00,P015,P007,25000,FCT,SALARY_PAYMENT,ACC-P015-01,E037
T026,CASE001,2026-02-05 00:00:00,P023,P017,41000,FCT,SALARY_PAYMENT,ACC-P023-01,E038
T027,CASE001,2026-02-05 00:00:00,P002,P006,25000,FCT,SALARY_PAYMENT,ACC-P002-01,
T028,CASE001,2026-02-21 00:00:00,P022,P011,7500,FCT,CASH_DEPOSIT,ACC-P022-01,E039
T029,CASE001,2026-02-09 00:00:00,P009,P016,7500,FCT,CASH_DEPOSIT,ACC-P009-01,E040
T030,CASE001,2026-02-10 00:00:00,P005,P001,12000,FCT,CASH_DEPOSIT,ACC-P005-01,E041
T031,CASE001,2026-02-27 00:00:00,P015,P007,7500,FCT,CASH_DEPOSIT,ACC-P015-01,
T032,CASE001,2026-02-25 00:00:00,P013,P010,3000,FCT,WIRE_TRANSFER,ACC-P013-01,
T033,CASE001,2026-03-06 00:00:00,P003,P024,41000,FCT,CASH_DEPOSIT,ACC-P003-01,
T034,CASE001,2026-03-05 00:00:00,P017,P020,7500,FCT,INVOICE_PAYMENT,ACC-P017-01,E042
T035,CASE001,2026-01-31 00:00:00,P012,P006,1500,FCT,SALARY_PAYMENT,ACC-P012-01,
T036,CASE001,2026-03-06 00:00:00,P017,P013,41000,FCT,WIRE_TRANSFER,ACC-P017-01,
T037,CASE001,2026-01-11 00:00:00,P015,P008,3000,FCT,INVOICE_PAYMENT,ACC-P015-01,
T038,CASE001,2026-02-12 00:00:00,P005,P017,3000,FCT,CASH_DEPOSIT,ACC-P005-01,
T039,CASE001,2026-02-24 00:00:00,P016,P005,25000,FCT,CASH_DEPOSIT,ACC-P016-01,
T040,CASE001,2026-02-13 00:00:00,P020,P024,25000,FCT,SALARY_PAYMENT,ACC-P020-01,
T041,CASE001,2026-01-19 00:00:00,P024,P005,3000,FCT,WIRE_TRANSFER,ACC-P024-01,
T042,CASE001,2026-03-06 00:00:00,P002,P009,60000,FCT,CASH_DEPOSIT,ACC-P002-01,E043
